loan_reference,payment_amount,payment_date,payment_method,transaction_type,reference_number
JUTEM-00274,4800.0,2023-11-29,cash,Loan Repayment,PMT-00358
JUTEM-00275,7200.0,2023-12-29,cash,Loan Repayment,PMT-00359
JUTEM-00276,2900.0,2024-01-29,cash,Loan Repayment,PMT-00360
JUTEM-00276,2900.0,2024-02-29,cash,Loan Repayment,PMT-00361
JUTEM-00276,2900.0,2024-03-29,cash,Loan Repayment,PMT-00362
JUTEM-00276,2720.0,2024-04-29,cash,Loan Repayment,PMT-00363
JUTEM-00276,2720.0,2024-05-29,cash,Loan Repayment,PMT-00364
JUTEM-00277,2800.0,2024-06-29,cash,Loan Repayment,PMT-00365
JUTEM-00277,2800.0,2024-07-29,cash,Loan Repayment,PMT-00366
JUTEM-00277,2800.0,2024-08-29,cash,Loan Repayment,PMT-00367
JUTEM-00277,2800.0,2024-09-29,cash,Loan Repayment,PMT-00368
JUTEM-00279,7350.0,2025-07-18,cash,Loan Repayment,PMT-00369
JUTEM-00280,6000.0,2025-07-31,cash,Loan Repayment,PMT-00370
JUTEM-00281,12000.0,2025-08-30,cash,Loan Repayment,PMT-00371
JUTEM-00282,36000.0,2025-09-30,cash,Loan Repayment,PMT-00372
JUTEM-00283,3250.0,2022-10-29,cash,Loan Repayment,PMT-00373
JUTEM-00284,30600.0,2023-07-10,cash,Loan Repayment,PMT-00374
JUTEM-00285,3125.0,2022-05-24,cash,Loan Repayment,PMT-00375
JUTEM-00285,3125.0,2023-05-24,cash,Loan Repayment,PMT-00376
JUTEM-00286,2500.0,2022-06-07,cash,Loan Repayment,PMT-00377
JUTEM-00287,3750.0,2022-08-11,cash,Loan Repayment,PMT-00378
JUTEM-00288,2460.0,2023-07-05,cash,Loan Repayment,PMT-00379
JUTEM-00289,2091.0,2023-08-02,cash,Loan Repayment,PMT-00380
JUTEM-00290,2500.0,2023-11-26,cash,Loan Repayment,PMT-00381
JUTEM-00291,1500.0,2023-12-25,cash,Loan Repayment,PMT-00382
JUTEM-00292,14000.0,2021-11-08,cash,Loan Repayment,PMT-00383
JUTEM-00293,6250.0,2022-04-07,cash,Loan Repayment,PMT-00384
JUTEM-00294,10200.0,2022-11-30,cash,Loan Repayment,PMT-00385
JUTEM-00294,10200.0,2022-12-30,cash,Loan Repayment,PMT-00386
JUTEM-00295,10200.0,2023-02-05,cash,Loan Repayment,PMT-00387
JUTEM-00295,10200.0,2023-03-05,cash,Loan Repayment,PMT-00388
JUTEM-00296,8000.0,2023-04-08,cash,Loan Repayment,PMT-00389
JUTEM-00297,27200.0,2023-05-06,cash,Loan Repayment,PMT-00390
JUTEM-00297,23600.0,2023-06-06,cash,Loan Repayment,PMT-00391
JUTEM-00298,19040.0,2023-09-22,cash,Loan Repayment,PMT-00392
JUTEM-00299,12083.33,2023-10-23,cash,Loan Repayment,PMT-00393
JUTEM-00299,12083.33,2023-11-23,cash,Loan Repayment,PMT-00394
JUTEM-00300,14100.0,2024-01-24,cash,Loan Repayment,PMT-00395
JUTEM-00300,14100.0,2024-02-24,cash,Loan Repayment,PMT-00396
JUTEM-00301,7000.0,2022-02-03,cash,Loan Repayment,PMT-00397
JUTEM-00301,7000.0,2022-03-03,cash,Loan Repayment,PMT-00398
JUTEM-00302,13600.0,2022-05-06,cash,Loan Repayment,PMT-00399
JUTEM-00302,13600.0,2022-06-06,cash,Loan Repayment,PMT-00400
JUTEM-00303,12083.33,2023-12-23,cash,Loan Repayment,PMT-00401
JUTEM-00304,14100.0,2024-03-24,cash,Loan Repayment,PMT-00402
JUTEM-00306,2140.0,2021-09-22,cash,Loan Repayment,PMT-00403
JUTEM-00307,16800.0,2021-11-26,cash,Loan Repayment,PMT-00404
JUTEM-00308,4000.15,2022-06-30,cash,Loan Repayment,PMT-00405
JUTEM-00309,42000.0,2022-07-04,cash,Loan Repayment,PMT-00406
JUTEM-00310,50500.0,2024-09-06,cash,Loan Repayment,PMT-00407
JUTEM-00311,11000.0,2024-10-04,cash,Loan Repayment,PMT-00408
JUTEM-00312,34950.0,2024-11-08,cash,Loan Repayment,PMT-00409
JUTEM-00313,21000.0,2025-03-20,cash,Loan Repayment,PMT-00410
JUTEM-00314,176998.36,2025-04-20,cash,Loan Repayment,PMT-00411
JUTEM-00315,58000.0,2025-06-30,cash,Loan Repayment,PMT-00412
JUTEM-00316,55000.0,2025-07-14,cash,Loan Repayment,PMT-00413
JUTEM-00317,91000.0,2025-10-24,cash,Loan Repayment,PMT-00414
JUTEM-00317,100002.0,2025-11-24,cash,Loan Repayment,PMT-00415
JUTEM-00318,16500.0,2025-11-21,cash,Loan Repayment,PMT-00416
JUTEM-00319,344400.0,2026-01-19,cash,Loan Repayment,PMT-00417
JUTEM-00320,30600.0,2026-01-27,cash,Loan Repayment,PMT-00418
JUTEM-00322,12000.0,2026-01-24,cash,Loan Repayment,PMT-00419
JUTEM-00324,57800.0,2024-11-30,cash,Loan Repayment,PMT-00420
JUTEM-00324,57800.0,2024-12-30,cash,Loan Repayment,PMT-00421
JUTEM-00324,57800.0,2025-01-30,cash,Loan Repayment,PMT-00422
JUTEM-00324,57800.0,2025-02-28,cash,Loan Repayment,PMT-00423
JUTEM-00325,55000.0,2024-12-20,cash,Loan Repayment,PMT-00424
JUTEM-00326,12000.0,2025-06-04,cash,Loan Repayment,PMT-00425
JUTEM-00327,41800.0,2024-10-23,cash,Loan Repayment,PMT-00426
JUTEM-00328,2500.0,2024-02-26,cash,Loan Repayment,PMT-00427
JUTEM-00329,660000.0,2024-06-29,cash,Loan Repayment,PMT-00428
JUTEM-00330,660000.0,2024-07-21,cash,Loan Repayment,PMT-00429
JUTEM-00331,238000.0,2025-07-13,cash,Loan Repayment,PMT-00430
JUTEM-00332,660000.0,2024-05-29,cash,Loan Repayment,PMT-00431
JUTEM-00333,1250.0,2021-12-30,cash,Loan Repayment,PMT-00432
JUTEM-00334,2500.0,2022-02-05,cash,Loan Repayment,PMT-00433
JUTEM-00335,381000.0,2025-07-20,cash,Loan Repayment,PMT-00434
JUTEM-00336,720.0,2021-08-30,cash,Loan Repayment,PMT-00435
JUTEM-00337,960.0,2021-09-30,cash,Loan Repayment,PMT-00436
JUTEM-00338,1600.0,2021-10-30,cash,Loan Repayment,PMT-00437
JUTEM-00339,2300.0,2021-11-30,cash,Loan Repayment,PMT-00438
JUTEM-00340,5199.84,2021-11-29,cash,Loan Repayment,PMT-00439
JUTEM-00341,2400.0,2022-01-25,cash,Loan Repayment,PMT-00440
JUTEM-00341,2220.0,2022-06-25,cash,Loan Repayment,PMT-00441
JUTEM-00342,3819.82,2022-05-06,cash,Loan Repayment,PMT-00442
JUTEM-00343,4200.14,2022-05-25,cash,Loan Repayment,PMT-00443
JUTEM-00344,52500.0,2023-12-15,cash,Loan Repayment,PMT-00444
JUTEM-00345,180000.0,2025-01-09,cash,Loan Repayment,PMT-00445
JUTEM-00346,88000.0,2025-02-10,cash,Loan Repayment,PMT-00446
JUTEM-00347,53550.0,2025-03-27,cash,Loan Repayment,PMT-00447
JUTEM-00348,117002.0,2025-04-24,cash,Loan Repayment,PMT-00448
JUTEM-00349,55591.0,2025-06-23,cash,Loan Repayment,PMT-00449
JUTEM-00350,150000.0,2025-07-05,cash,Loan Repayment,PMT-00450
JUTEM-00351,1300.0,2025-11-17,cash,Loan Repayment,PMT-00451
JUTEM-00351,1300.0,2025-12-17,cash,Loan Repayment,PMT-00452
JUTEM-00352,11300.01,2026-01-17,cash,Loan Repayment,PMT-00453
JUTEM-00353,1650.0,2026-01-28,cash,Loan Repayment,PMT-00454
JUTEM-00353,1650.0,2026-02-28,cash,Loan Repayment,PMT-00455
JUTEM-00355,25000.0,2021-05-20,cash,Loan Repayment,PMT-00456
JUTEM-00355,24000.0,2021-06-20,cash,Loan Repayment,PMT-00457
JUTEM-00355,24000.0,2021-07-20,cash,Loan Repayment,PMT-00458
JUTEM-00356,30000.0,2022-07-12,cash,Loan Repayment,PMT-00459
JUTEM-00357,61500.0,2022-11-15,cash,Loan Repayment,PMT-00460
JUTEM-00358,15129.0,2022-12-21,cash,Loan Repayment,PMT-00461
JUTEM-00359,12300.0,2023-01-10,cash,Loan Repayment,PMT-00462
JUTEM-00360,36900.0,2023-01-29,cash,Loan Repayment,PMT-00463
JUTEM-00361,49200.0,2023-02-26,cash,Loan Repayment,PMT-00464
JUTEM-00361,48000.0,2023-03-26,cash,Loan Repayment,PMT-00465
JUTEM-00362,12300.0,2023-03-16,cash,Loan Repayment,PMT-00466
JUTEM-00363,24600.0,2023-04-06,cash,Loan Repayment,PMT-00467
JUTEM-00364,3690.0,2023-06-21,cash,Loan Repayment,PMT-00468
JUTEM-00365,8610.0,2023-07-05,cash,Loan Repayment,PMT-00469
JUTEM-00366,12000.0,2023-08-20,cash,Loan Repayment,PMT-00470
JUTEM-00366,12000.0,2023-09-20,cash,Loan Repayment,PMT-00471
JUTEM-00367,4600.0,2023-08-21,cash,Loan Repayment,PMT-00472
JUTEM-00368,3690.0,2022-06-21,cash,Loan Repayment,PMT-00473
JUTEM-00369,3200.0,2025-04-30,cash,Loan Repayment,PMT-00474
JUTEM-00369,3200.0,2025-05-30,cash,Loan Repayment,PMT-00475
JUTEM-00370,11200.0,2023-09-28,cash,Loan Repayment,PMT-00476
JUTEM-00371,12980.0,2024-01-10,cash,Loan Repayment,PMT-00477
JUTEM-00371,12980.0,2024-02-10,cash,Loan Repayment,PMT-00478
JUTEM-00371,13750.0,2024-03-10,cash,Loan Repayment,PMT-00479
JUTEM-00372,3999.9,2024-05-08,cash,Loan Repayment,PMT-00480
JUTEM-00373,6540.0,2024-06-27,cash,Loan Repayment,PMT-00481
JUTEM-00374,5600.0,2024-09-24,cash,Loan Repayment,PMT-00482
JUTEM-00375,4900.05,2025-01-26,cash,Loan Repayment,PMT-00483
JUTEM-00376,5600.0,2025-04-29,cash,Loan Repayment,PMT-00484
JUTEM-00377,11000.0,2022-03-24,cash,Loan Repayment,PMT-00485
JUTEM-00378,4600.0,2022-05-22,cash,Loan Repayment,PMT-00486
JUTEM-00379,17850.0,2024-08-21,cash,Loan Repayment,PMT-00487
JUTEM-00380,15340.0,2025-08-22,cash,Loan Repayment,PMT-00488
JUTEM-00381,11500.0,2025-11-22,cash,Loan Repayment,PMT-00489
JUTEM-00381,11800.0,2025-12-22,cash,Loan Repayment,PMT-00490
JUTEM-00381,10800.0,2025-12-22,cash,Loan Repayment,PMT-00491
JUTEM-00382,23600.0,2026-01-21,cash,Loan Repayment,PMT-00492
JUTEM-00382,23600.0,2026-02-21,cash,Loan Repayment,PMT-00493
JUTEM-00384,5467.5,2022-01-28,cash,Loan Repayment,PMT-00494
JUTEM-00385,14375.0,2021-12-29,cash,Loan Repayment,PMT-00495
JUTEM-00386,25000.0,2022-06-18,cash,Loan Repayment,PMT-00496
JUTEM-00387,12500.0,2022-08-03,cash,Loan Repayment,PMT-00497
JUTEM-00388,12500.0,2021-11-26,cash,Loan Repayment,PMT-00498
JUTEM-00389,5000.0,2021-05-28,cash,Loan Repayment,PMT-00499
JUTEM-00390,4025.0,2021-11-14,cash,Loan Repayment,PMT-00500
JUTEM-00391,6875.0,2022-01-02,cash,Loan Repayment,PMT-00501
JUTEM-00392,5750.0,2022-01-16,cash,Loan Repayment,PMT-00502
JUTEM-00393,5000.0,2022-02-20,cash,Loan Repayment,PMT-00503
JUTEM-00394,5000.0,2022-03-22,cash,Loan Repayment,PMT-00504
JUTEM-00395,3450.0,2022-04-06,cash,Loan Repayment,PMT-00505
JUTEM-00396,3062.5,2022-05-12,cash,Loan Repayment,PMT-00506
JUTEM-00397,17550.0,2022-09-02,cash,Loan Repayment,PMT-00507
JUTEM-00398,17250.0,2022-05-23,cash,Loan Repayment,PMT-00508
JUTEM-00398,17250.0,2023-05-23,cash,Loan Repayment,PMT-00509
JUTEM-00399,70200.0,2026-01-08,cash,Loan Repayment,PMT-00510
JUTEM-00400,135996.0,2026-01-30,cash,Loan Repayment,PMT-00511
JUTEM-00401,10800.0,2026-02-12,cash,Loan Repayment,PMT-00512
JUTEM-00402,2333.34,2024-12-15,cash,Loan Repayment,PMT-00513
JUTEM-00403,2899.92,2025-01-30,cash,Loan Repayment,PMT-00514
JUTEM-00404,360.0,2021-07-02,cash,Loan Repayment,PMT-00515
JUTEM-00405,2500.0,2021-09-06,cash,Loan Repayment,PMT-00516
JUTEM-00405,2640.0,2024-07-06,cash,Loan Repayment,PMT-00517
JUTEM-00405,2640.0,2024-08-06,cash,Loan Repayment,PMT-00518
JUTEM-00406,625.0,2021-09-30,cash,Loan Repayment,PMT-00519
JUTEM-00407,2214.0,2022-01-08,cash,Loan Repayment,PMT-00520
JUTEM-00408,2500.0,2022-03-01,cash,Loan Repayment,PMT-00521
JUTEM-00409,2875.0,2022-03-30,cash,Loan Repayment,PMT-00522
JUTEM-00409,3000.0,2023-07-30,cash,Loan Repayment,PMT-00523
JUTEM-00410,3000.0,2022-05-28,cash,Loan Repayment,PMT-00524
JUTEM-00411,2300.0,2022-06-25,cash,Loan Repayment,PMT-00525
JUTEM-00412,1695.0,2022-12-24,cash,Loan Repayment,PMT-00526
JUTEM-00413,3600.0,2023-03-30,cash,Loan Repayment,PMT-00527
JUTEM-00414,4800.0,2023-08-30,cash,Loan Repayment,PMT-00528
JUTEM-00415,2440.0,2024-05-30,cash,Loan Repayment,PMT-00529
JUTEM-00415,2660.0,2025-05-30,cash,Loan Repayment,PMT-00530
JUTEM-00415,2660.0,2025-06-30,cash,Loan Repayment,PMT-00531
JUTEM-00415,2780.0,2025-09-30,cash,Loan Repayment,PMT-00532
JUTEM-00415,2780.0,2025-10-30,cash,Loan Repayment,PMT-00533
JUTEM-00416,2333.34,2024-10-15,cash,Loan Repayment,PMT-00534
JUTEM-00416,2333.34,2024-11-15,cash,Loan Repayment,PMT-00535
JUTEM-00417,5400.0,2025-07-31,cash,Loan Repayment,PMT-00536
JUTEM-00418,2780.0,2025-09-10,cash,Loan Repayment,PMT-00537
JUTEM-00419,2925.0,2025-04-30,cash,Loan Repayment,PMT-00538
JUTEM-00422,24000.0,2025-11-28,cash,Loan Repayment,PMT-00539
JUTEM-00423,83300.0,2026-02-12,cash,Loan Repayment,PMT-00540
JUTEM-00424,5000.0,2021-12-02,cash,Loan Repayment,PMT-00541
JUTEM-00425,3050.0,2022-02-02,cash,Loan Repayment,PMT-00542
JUTEM-00426,2700.0,2022-08-30,cash,Loan Repayment,PMT-00543
JUTEM-00426,2700.0,2022-09-30,cash,Loan Repayment,PMT-00544
JUTEM-00427,7200.0,2023-10-30,cash,Loan Repayment,PMT-00545
JUTEM-00428,5000.0,2023-09-28,cash,Loan Repayment,PMT-00546
JUTEM-00429,5315.94,2024-01-30,cash,Loan Repayment,PMT-00547
JUTEM-00430,3875.0,2023-12-11,cash,Loan Repayment,PMT-00548
JUTEM-00431,2625.0,2024-01-11,cash,Loan Repayment,PMT-00549
JUTEM-00432,5315.94,2024-02-28,cash,Loan Repayment,PMT-00550
JUTEM-00433,5315.94,2024-03-30,cash,Loan Repayment,PMT-00551
JUTEM-00434,3750.0,2024-05-30,cash,Loan Repayment,PMT-00552
JUTEM-00435,6250.0,2024-06-30,cash,Loan Repayment,PMT-00553
JUTEM-00436,6875.0,2024-07-31,cash,Loan Repayment,PMT-00554
JUTEM-00437,8750.0,2024-08-30,cash,Loan Repayment,PMT-00555
JUTEM-00438,6050.0,2025-06-27,cash,Loan Repayment,PMT-00556
JUTEM-00439,9600.0,2025-07-27,cash,Loan Repayment,PMT-00557
JUTEM-00440,6343.75,2025-08-30,cash,Loan Repayment,PMT-00558
JUTEM-00440,6343.75,2025-09-30,cash,Loan Repayment,PMT-00559
JUTEM-00440,6343.75,2025-10-30,cash,Loan Repayment,PMT-00560
JUTEM-00440,6343.75,2025-11-30,cash,Loan Repayment,PMT-00561
JUTEM-00441,26400.0,2022-01-21,cash,Loan Repayment,PMT-00562
JUTEM-00442,43750.0,2025-04-24,cash,Loan Repayment,PMT-00563
JUTEM-00443,35400.0,2025-03-14,cash,Loan Repayment,PMT-00564
JUTEM-00444,42000.0,2025-07-28,cash,Loan Repayment,PMT-00565
JUTEM-00445,11000.0,2025-10-07,cash,Loan Repayment,PMT-00566
JUTEM-00446,132000.0,2025-09-19,cash,Loan Repayment,PMT-00567
JUTEM-00447,175500.0,2025-10-31,cash,Loan Repayment,PMT-00568
JUTEM-00448,46000.0,2025-11-17,cash,Loan Repayment,PMT-00569
JUTEM-00451,4571.25,2021-12-16,cash,Loan Repayment,PMT-00570
JUTEM-00452,5750.0,2021-11-20,cash,Loan Repayment,PMT-00571
JUTEM-00453,5750.0,2021-12-03,cash,Loan Repayment,PMT-00572
JUTEM-00454,3300.0,2022-05-24,cash,Loan Repayment,PMT-00573
JUTEM-00455,11400.0,2022-06-21,cash,Loan Repayment,PMT-00574
JUTEM-00456,5950.0,2022-07-21,cash,Loan Repayment,PMT-00575
JUTEM-00457,13500.0,2022-08-09,cash,Loan Repayment,PMT-00576
JUTEM-00457,13500.0,2022-09-09,cash,Loan Repayment,PMT-00577
JUTEM-00458,899.99,2022-10-15,cash,Loan Repayment,PMT-00578
JUTEM-00459,3210.0,2022-04-15,cash,Loan Repayment,PMT-00579
JUTEM-00460,8600.15,2025-06-23,cash,Loan Repayment,PMT-00580
JUTEM-00460,8450.0,2025-07-23,cash,Loan Repayment,PMT-00581
JUTEM-00461,22000.0,2025-07-21,cash,Loan Repayment,PMT-00582
JUTEM-00462,32476.0,2025-08-22,cash,Loan Repayment,PMT-00583
JUTEM-00462,32476.0,2025-09-22,cash,Loan Repayment,PMT-00584
JUTEM-00463,31597.4,2025-10-22,cash,Loan Repayment,PMT-00585
JUTEM-00465,24000.0,2024-04-25,cash,Loan Repayment,PMT-00586
JUTEM-00466,4152.0,2024-01-25,cash,Loan Repayment,PMT-00587
JUTEM-00467,4464.0,2023-12-25,cash,Loan Repayment,PMT-00588
JUTEM-00468,7200.0,2023-10-04,cash,Loan Repayment,PMT-00589
JUTEM-00469,8750.0,2024-03-26,cash,Loan Repayment,PMT-00590
JUTEM-00470,4200.0,2024-04-25,cash,Loan Repayment,PMT-00591
JUTEM-00471,13400.0,2023-11-28,cash,Loan Repayment,PMT-00592
JUTEM-00472,13400.0,2023-12-28,cash,Loan Repayment,PMT-00593
JUTEM-00473,14000.0,2024-01-24,cash,Loan Repayment,PMT-00594
JUTEM-00473,14000.0,2024-02-24,cash,Loan Repayment,PMT-00595
JUTEM-00473,14000.0,2024-03-24,cash,Loan Repayment,PMT-00596
JUTEM-00474,10125.0,2023-10-05,cash,Loan Repayment,PMT-00597
JUTEM-00474,10125.0,2023-11-05,cash,Loan Repayment,PMT-00598
JUTEM-00475,6996.0,2023-11-26,cash,Loan Repayment,PMT-00599
JUTEM-00476,4720.0,2023-11-25,cash,Loan Repayment,PMT-00600
JUTEM-00477,33275.0,2023-12-26,cash,Loan Repayment,PMT-00601
JUTEM-00478,3540.0,2025-06-24,cash,Loan Repayment,PMT-00602
JUTEM-00479,6275.0,2025-07-24,cash,Loan Repayment,PMT-00603
JUTEM-00480,367500.0,2024-06-02,cash,Loan Repayment,PMT-00604
JUTEM-00481,422650.0,2024-07-05,cash,Loan Repayment,PMT-00605
JUTEM-00482,1806000.0,2024-08-15,cash,Loan Repayment,PMT-00606
JUTEM-00483,1340040.0,2024-09-03,cash,Loan Repayment,PMT-00607
JUTEM-00484,181995.0,2025-02-20,cash,Loan Repayment,PMT-00608
JUTEM-00485,60000.0,2025-03-19,cash,Loan Repayment,PMT-00609
JUTEM-00486,168000.0,2025-04-04,cash,Loan Repayment,PMT-00610
JUTEM-00487,206510.0,2025-04-24,cash,Loan Repayment,PMT-00611
JUTEM-00488,12300.0,2024-06-21,cash,Loan Repayment,PMT-00612
JUTEM-00489,18450.0,2024-07-20,cash,Loan Repayment,PMT-00613
JUTEM-00490,14760.0,2024-09-06,cash,Loan Repayment,PMT-00614
JUTEM-00490,14760.0,2025-01-06,cash,Loan Repayment,PMT-00615
JUTEM-00491,7380.0,2024-10-11,cash,Loan Repayment,PMT-00616
JUTEM-00492,18450.0,2024-12-06,cash,Loan Repayment,PMT-00617
JUTEM-00493,24600.0,2025-01-28,cash,Loan Repayment,PMT-00618
JUTEM-00493,24600.0,2025-02-28,cash,Loan Repayment,PMT-00619
JUTEM-00494,24000.0,2025-04-06,cash,Loan Repayment,PMT-00620
JUTEM-00495,18666.66,2025-05-14,cash,Loan Repayment,PMT-00621
JUTEM-00495,18666.66,2025-06-14,cash,Loan Repayment,PMT-00622
JUTEM-00495,18666.66,2025-07-14,cash,Loan Repayment,PMT-00623
JUTEM-00496,18125.0,2025-08-11,cash,Loan Repayment,PMT-00624
JUTEM-00496,18125.0,2025-09-11,cash,Loan Repayment,PMT-00625
JUTEM-00496,18125.0,2025-10-11,cash,Loan Repayment,PMT-00626
JUTEM-00496,18125.0,2025-11-11,cash,Loan Repayment,PMT-00627
JUTEM-00497,27187.5,2025-11-22,cash,Loan Repayment,PMT-00628
JUTEM-00497,27187.5,2025-12-22,cash,Loan Repayment,PMT-00629
JUTEM-00497,27187.5,2026-01-22,cash,Loan Repayment,PMT-00630
JUTEM-00497,27187.5,2026-02-22,cash,Loan Repayment,PMT-00631
JUTEM-00499,33300.0,2023-12-06,cash,Loan Repayment,PMT-00632
JUTEM-00500,5508.0,2023-12-24,cash,Loan Repayment,PMT-00633
JUTEM-00501,11800.0,2025-12-30,cash,Loan Repayment,PMT-00634
JUTEM-00502,60000.0,2026-02-08,cash,Loan Repayment,PMT-00635
JUTEM-00505,3750.0,2024-01-05,cash,Loan Repayment,PMT-00636
JUTEM-00506,2500.0,2022-04-14,cash,Loan Repayment,PMT-00637
JUTEM-00507,3125.0,2023-08-30,cash,Loan Repayment,PMT-00638
JUTEM-00508,4375.0,2023-09-29,cash,Loan Repayment,PMT-00639
JUTEM-00509,3125.0,2023-11-16,cash,Loan Repayment,PMT-00640
JUTEM-00510,6960.0,2025-10-30,cash,Loan Repayment,PMT-00641
JUTEM-00511,17700.0,2025-12-30,cash,Loan Repayment,PMT-00642
JUTEM-00512,23600.0,2026-01-30,cash,Loan Repayment,PMT-00643
JUTEM-00513,29500.0,2026-02-28,cash,Loan Repayment,PMT-00644
JUTEM-00515,38400.0,2026-01-05,cash,Loan Repayment,PMT-00645
JUTEM-00515,38400.0,2026-02-05,cash,Loan Repayment,PMT-00646
JUTEM-00516,59000.0,2025-11-15,cash,Loan Repayment,PMT-00647
JUTEM-00517,6250.0,2022-05-08,cash,Loan Repayment,PMT-00648
JUTEM-00518,354000.0,2024-11-23,cash,Loan Repayment,PMT-00649
JUTEM-00519,129950.0,2024-11-20,cash,Loan Repayment,PMT-00650
JUTEM-00520,39550.0,2024-12-26,cash,Loan Repayment,PMT-00651
JUTEM-00521,67200.0,2025-01-20,cash,Loan Repayment,PMT-00652
JUTEM-00522,43306.0,2025-02-16,cash,Loan Repayment,PMT-00653
JUTEM-00523,17700.0,2025-03-19,cash,Loan Repayment,PMT-00654
JUTEM-00524,68400.0,2025-03-28,cash,Loan Repayment,PMT-00655
JUTEM-00525,112100.0,2025-05-09,cash,Loan Repayment,PMT-00656
JUTEM-00526,77880.0,2025-08-23,cash,Loan Repayment,PMT-00657
JUTEM-00527,6840.0,2025-08-08,cash,Loan Repayment,PMT-00658
JUTEM-00528,284200.0,2025-08-27,cash,Loan Repayment,PMT-00659
JUTEM-00529,9120.0,2025-08-22,cash,Loan Repayment,PMT-00660
JUTEM-00530,26640.0,2025-08-27,cash,Loan Repayment,PMT-00661
JUTEM-00531,96570.0,2025-09-26,cash,Loan Repayment,PMT-00662
JUTEM-00532,34220.0,2025-10-17,cash,Loan Repayment,PMT-00663
JUTEM-00533,25155.0,2025-10-25,cash,Loan Repayment,PMT-00664
JUTEM-00534,17400.0,2025-10-30,cash,Loan Repayment,PMT-00665
JUTEM-00535,125860.0,2025-10-31,cash,Loan Repayment,PMT-00666
JUTEM-00536,58714.43,2025-12-07,cash,Loan Repayment,PMT-00667
JUTEM-00537,157950.0,2025-12-30,cash,Loan Repayment,PMT-00668
JUTEM-00538,42188.0,2025-12-30,cash,Loan Repayment,PMT-00669
JUTEM-00539,60375.0,2026-01-21,cash,Loan Repayment,PMT-00670
JUTEM-00545,3125.0,2022-01-30,cash,Loan Repayment,PMT-00671
JUTEM-00546,1250.0,2023-09-30,cash,Loan Repayment,PMT-00672
JUTEM-00547,1250.0,2024-04-27,cash,Loan Repayment,PMT-00673
JUTEM-00547,1250.0,2024-05-27,cash,Loan Repayment,PMT-00674
JUTEM-00548,580000.0,2026-02-05,cash,Loan Repayment,PMT-00675
JUTEM-00550,8400.0,2021-06-28,cash,Loan Repayment,PMT-00676
JUTEM-00551,3125.0,2022-02-07,cash,Loan Repayment,PMT-00677
JUTEM-00553,305000.0,2025-02-28,cash,Loan Repayment,PMT-00678
JUTEM-00554,177000.0,2025-04-19,cash,Loan Repayment,PMT-00679
JUTEM-00554,191295.0,2025-05-19,cash,Loan Repayment,PMT-00680
JUTEM-00555,145180.0,2026-02-21,cash,Loan Repayment,PMT-00681
JUTEM-00556,2900.0,2021-12-31,cash,Loan Repayment,PMT-00682
JUTEM-00557,3000.0,2022-02-06,cash,Loan Repayment,PMT-00683
JUTEM-00558,1875.0,2022-03-11,cash,Loan Repayment,PMT-00684
JUTEM-00559,5175.0,2022-03-23,cash,Loan Repayment,PMT-00685
JUTEM-00560,5000.0,2022-05-08,cash,Loan Repayment,PMT-00686
JUTEM-00561,2500.0,2022-06-20,cash,Loan Repayment,PMT-00687
JUTEM-00562,3125.0,2022-08-18,cash,Loan Repayment,PMT-00688
JUTEM-00563,3281.25,2022-09-19,cash,Loan Repayment,PMT-00689
JUTEM-00564,4375.0,2022-10-28,cash,Loan Repayment,PMT-00690
JUTEM-00565,12300.0,2024-02-05,cash,Loan Repayment,PMT-00691
JUTEM-00566,12300.0,2024-04-10,cash,Loan Repayment,PMT-00692
JUTEM-00567,18450.0,2024-04-29,cash,Loan Repayment,PMT-00693
JUTEM-00567,18450.0,2024-04-29,cash,Loan Repayment,PMT-00694
JUTEM-00567,18450.0,2024-05-29,cash,Loan Repayment,PMT-00695
JUTEM-00568,9760.0,2024-07-18,cash,Loan Repayment,PMT-00696
JUTEM-00568,9760.0,2024-08-18,cash,Loan Repayment,PMT-00697
JUTEM-00569,9760.0,2024-09-24,cash,Loan Repayment,PMT-00698
JUTEM-00570,13200.0,2024-11-30,cash,Loan Repayment,PMT-00699
JUTEM-00570,13200.0,2024-12-30,cash,Loan Repayment,PMT-00700
JUTEM-00570,13200.0,2025-01-30,cash,Loan Repayment,PMT-00701
JUTEM-00571,13200.0,2025-02-28,cash,Loan Repayment,PMT-00702
JUTEM-00572,24000.0,2025-06-02,cash,Loan Repayment,PMT-00703
JUTEM-00573,24000.0,2025-07-02,cash,Loan Repayment,PMT-00704
JUTEM-00574,12000.0,2025-09-20,cash,Loan Repayment,PMT-00705
JUTEM-00575,17850.0,2025-11-06,cash,Loan Repayment,PMT-00706
JUTEM-00575,17850.0,2025-12-06,cash,Loan Repayment,PMT-00707
JUTEM-00575,17700.0,2026-01-06,cash,Loan Repayment,PMT-00708
JUTEM-00578,2975.0,2025-08-22,cash,Loan Repayment,PMT-00709
JUTEM-00580,7320.0,2024-03-30,cash,Loan Repayment,PMT-00710
JUTEM-00581,660000.0,2025-08-03,cash,Loan Repayment,PMT-00711
JUTEM-00583,1866.66,2023-09-29,cash,Loan Repayment,PMT-00712
JUTEM-00583,1866.66,2023-10-29,cash,Loan Repayment,PMT-00713
JUTEM-00583,1866.66,2023-11-29,cash,Loan Repayment,PMT-00714
JUTEM-00584,2333.34,2023-12-27,cash,Loan Repayment,PMT-00715
